Borough,Geographical  District,Admin District,ATS Code,Location Name,Grade Level,Building Code,Building Name,Address,Building Ownership Description,Room No,Area,Function,Is school co-located?,Inside v outside,Is the space shared by any other schools?,Space used for any other purpose beside PE
K,23,23,23K155,P.S./ I.S. 155 Nicholas Herkimer,K-8,K155,P.S. 155 - Brooklyn,1355 Herkimer Street,DOE Owned,Outdoor Yard 1,12186,Outdoor Yard,false,Outdoor,false,false
K,23,23,23K156,P.S. 156 Waverly,Elementary,K356,P.S. 156 - Brooklyn,104 Sutter Avenue,DOE Owned,223,1326,Dance Room,true,Inside,true,false
K,23,23,23K156,P.S. 156 Waverly,Elementary,K356,P.S. 156 - Brooklyn,104 Sutter Avenue,DOE Owned,227,5104,Gymnasium,true,Inside,true,false
K,23,23,23K156,P.S. 156 Waverly,Elementary,K356,P.S. 156 - Brooklyn,104 Sutter Avenue,DOE Owned,Outdoor Yard 1,11620,Outdoor Yard,true,Outdoor,true,false
K,23,23,23K156,P.S. 156 Waverly,Elementary,K356,P.S. 156 - Brooklyn,104 Sutter Avenue,DOE Owned,Outdoor Yard 2,13750,Outdoor Yard,true,Outdoor,true,false
K,23,23,23K165,P.S. 165 Ida Posner,K-8,K165,P.S. 165 - Brooklyn,76 Lott Avenue,DOE Owned,302,672,Dance Room,false,Inside,false,false
K,23,23,23K165,P.S. 165 Ida Posner,K-8,K165,P.S. 165 - Brooklyn,76 Lott Avenue,DOE Owned,Outdoor Yard 1,22320,Outdoor Yard,false,Outdoor,false,false
K,23,23,23K178,P.S. 178 Saint Clair Mckelway,K-8,K178,P.S. 178 - Brooklyn,2163 Dean Street,DOE Owned,GYM,2240,Gymnasium,true,Inside,true,false
K,23,23,23K178,P.S. 178 Saint Clair Mckelway,K-8,K178,P.S. 178 - Brooklyn,2163 Dean Street,DOE Owned,Outdoor Yard 1,52333,Outdoor Yard,true,Outdoor,true,false
K,23,23,23K178,P.S. 178 Saint Clair Mckelway,K-8,K854,P.S. 178 Ax (Bed Stuy Ecc 1)-K,1784 Park Place,DOE Owned,Outdoor Yard 1,14100,Outdoor Yard,true,Outdoor,true,false
K,23,23,23K184,P.S. 184 Newport,K-8,K184,P.S. 184 - Brooklyn,273 Newport Street,DOE Owned,306,1254,Gymnasium,false,Inside,false,false
K,23,23,23K184,P.S. 184 Newport,K-8,K184,P.S. 184 - Brooklyn,273 Newport Street,DOE Owned,512,540,Dance Room,false,Inside,false,false
K,23,23,23K184,P.S. 184 Newport,K-8,K184,P.S. 184 - Brooklyn,273 Newport Street,DOE Owned,Outdoor Yard 1,28115,Outdoor Yard,false,Outdoor,false,false
K,23,23,23K284,"The Gregory Jocko Jackson School of Sports, Art, and Technology",K-8,K284,P.S. 284 - Brooklyn,213 Osborn Street,DOE Owned,422B,1421,Gymnasium,true,Inside,true,false
K,23,23,23K284,"The Gregory Jocko Jackson School of Sports, Art, and Technology",K-8,K284,P.S. 284 - Brooklyn,213 Osborn Street,DOE Owned,POOL,2923,Swimming Pool,true,Inside,true,false
K,23,23,23K284,"The Gregory Jocko Jackson School of Sports, Art, and Technology",K-8,K284,P.S. 284 - Brooklyn,213 Osborn Street,DOE Owned,Outdoor Yard 1,13231,Outdoor Yard,true,Outdoor,true,false
K,23,23,23K298,P.S. 298 Dr. Betty Shabazz,K-8,K298,P.S. 298 - Brooklyn,85 Watkins Street,DOE Owned,226,650,Dance Room,true,Inside,true,false
K,23,23,23K298,P.S. 298 Dr. Betty Shabazz,K-8,K298,P.S. 298 - Brooklyn,85 Watkins Street,DOE Owned,GYM,3816,Gymnasium,true,Inside,true,false
K,23,23,23K298,P.S. 298 Dr. Betty Shabazz,K-8,K298,P.S. 298 - Brooklyn,85 Watkins Street,DOE Owned,Outdoor Yard 1,8367,Outdoor Yard,true,Outdoor,true,false
K,23,23,23K323,P.S./I.S. 323,K-8,K263,P.S./I.S. 323 - Brooklyn,210 Chester Street,DOE Owned,GYM,5850,Gymnasium,true,Inside,true,false
